title,url,webentity_type,classifications_sitpol,classifications_ddc,specific_agents,specific_actor_type,descriptions@lang=fr,keywords@lang=fr,keywords@lang=en,creators@role=pbl,languages,publication_countries,rec_type_cerimes,target_audiences_cerimes,rec_created_use,notes@lang=fr
Maxime Verner 2012 : renaître ensemble,http://maximeverner.fr,Page d'accueil,économie:crise financière ; vie politique:campagne électorale ; société:jeunesse ; emploi:emploi ; éducation:éducation,324 ; 944,maxime verner,politician,"Site de campagne 2012 de Maxime Verner, « candidat de la jeunesse » à la présidentielle de mai 2012 : « 12 mesures pour un nouveau Contrat social et économique ».",Vie politique ;  Jeunesse ;  Centre ; Élections ;  France ,Politics ; Youth ; Centre ; Elections ; France,Maxime Verner,fre,FR,13,11,ZM,
En temps Réel,http://en.temps.reel.free.fr/accueil.htm,Page d'accueil,économie:économie ; économie:entreprise ; économie:crise financière ; économie:finances publiques,324 ; 944,,think_tank,"Think tank associant universitaires, représentants du monde de l'entreprise, élus et acteurs de la société civile. Il organise des rencontres, ateliers, séminaires et apporte son concours à des travaux d’intérêt public dans le cadre de son programme de recherche. En Temps Rée publie des Cahiers accessibles en ligne. Activités, documents de travail.


",Association ; Vie politique ; Débat public ; Recherche,Association ; Public Debate ; Politics ; Research,En Temps Réel,fre,FR,13,9,DG,Dernière publication : 003/04/12
Ministère de l'économie des finances et de l'industrie,http://www.minefe.gouv.fr,Page d'accueil,économie:économie ; économie:entreprise ; économie:finances publiques,324 ; 944,,institution,"L'activité du ministère :définitions et mise en oeuvre des politiques économiques et financières. Suivi des secteurs industriels, de l'énergie, de l'économie numérique, du commerce extérieur, du tourisme, des PME, et du commerce.",Vie politique ; Économie ; Finances ; Industrie; France,Politics ; Economics ; Economic policy ; Finance ; France,"Ministère de de l'Économie, des Finances et l'Industrie ",fre,FR,12,11,OD,
Institut Montaigne,http://www.institutmontaigne.org,Page d'accueil,économie:économie ; emploi:emploi ; politique sociale:politique sociale ; économie:finances publiques,324 ; 944,,think_tank,"Créé en 2000 par Claude Bébéar, l'Institut Montaigne a deux objectifs principaux : influencer utilement le débat public en apportant des idées pragmatiques et originales et Aider à la définition des politiques publiques dans le but d'améliorer l'environnement économique et social français",Think Tank ; Centre droit ; Politiques publiques ; Vie politique ; France,Think Tank ; Centre Right ; Politics ; Public Policies ; France,Institut Montaigne,fre,FR,10,9,DG,
Alliance centriste,http://www.alliancecentriste.fr,Page d'accueil,économie:économie ; europe:europe ; éducation:éducation ; administration publique:administration publique ; économie:finances publiques,324 ; 944,jean arthuis ; françois bayrou,political_party,"L'activité de l'association et du parti. Le fonctionnement, les statuts. L'ambition de l'Alliance Centriste est de refonder la famille centriste  rassemblée et indépendante comme force
 de propositions et d'action sur l'échiquier politique.",Partis politiques ; Centre ; France,Politics ; Centre ; France, Rassembler Les Centristes,fre,FR,12,11,OD,
Fondation Copernic,http://www.fondation-copernic.org,,économie:économie ; politique sociale:politique sociale ; politique sociale:logement ; vie politique:citoyenneté ; europe:europe,324 ; 944,,think_tank,"Depuis 1998, La Fondation Copernic travaille à « remettre à l’endroit tout ce que le libéralisme fait fonctionner à l’envers ». Copernic n’est lié à aucun parti politique, aucun syndicat, aucune association mais s’adresse à toutes les organisations politiques, syndicales et associatives ainsi qu’à toutes celles et tous ceux qui ne se résignent pas à l’ordre néolibéral. Elle diffuse de courts argumentaires (les « Copernic-Flashs ») destinés à outiller les militant-e-s en arguments et en propositions alternatives. Réforme du droit du travail, constitution européenne, réforme de l’assurance maladie, lois sécuritaires…",Fondation ; Vie politique ; Citoyen ; Antilibéralisme ; Réformes ; Vie sociale,Foundation ; Politics ; Citizen ; Antiliberalism ; Social policies,Fondation Copernic,fre,FR,10,11,DG,Membre du Réseau européen Transform 
Benoît Hamon sur Twitter,https://twitter.com/benoithamon,Page spécifique,économie:économie ; politique sociale:politique sociale ; société:inégalité sociale ; vie politique:campagne électorale,324 ; 944,benoît hamon ; françois hollande,politician,"Page Twitter de Benoît Hamon, Ministre délégué  à l'économie sociale et solidaire. Candidat aux législatives à Trappes (Yvelines).",Vie politique ; économie sociale ; élections législatives ; France,   Politics ; social economy ; elections ; France,Benoît Hamon,fre,FR,13,11,DG,
L'Hérétique (Démocratie et hérésie économique),http://heresie.hautetfort.com,Page d'accueil,économie:entreprise ; économie:crise financière ; vie politique:campagne électorale ; politique sociale:politique sociale ; europe:europe,324 ; 944,françois bayrou,activist,"Blog citoyen , proche du MODEM et de l'Alliance des Démocrates et libéraux pour l'Europe (ADLE/ALDE). ""L'orientation économique des analyses rapproche Démocratie et hérésie économique des thèses de l'économiste Joseph Aloïs Schumpeter, qui font la part belle à une économie de l'innovation."". ",Vie politique ; Citoyen ; Centre ; Libéralisme ; France ; Europe,Politics ; Citizen ; Centre ; France ; Europe,L'Hérétique,fre,FR,13,11,DG,
Budget et finances publiques - Portail de l'économie et des finances,http://www.economie.gouv.fr/budget-finances,Page d'accueil,économie:finances publiques,324 ; 944,,institution,"L'activité du ministère : elaboration et exécution du budget, suivi des compte publics, responsabilité de la fonction publique et de la réforme de l'Etat",Vie politique ; Budget ; Comptes publics; Fonction publique ; France,Buget ; Public Accounts ; Civil Service ; France,Ministère du budget,fre,FR,12,11,OD,nouvel url : http://www.economie.gouv.fr/budget-finances
Blog d'Alain Lambert (Le),http://www.alain-lambert-blog.org,Page d'accueil,économie:finances publiques ; administration publique:administration publique ; numérique:numérique,324 ; 944,alain lambert ; françois bayrou,politician,"Blog d'Alain Lambert, ancien ministre du Budget, Président du Conseil général de l'Orne.",Vie politique ; Droite ; Elus ; Collectivités locales ; UMP ,Politics ; Right ; Local Government ; UMP ,Alain Lambert,fre,FR,13,11,DG,
365 mots. Ni plus ni moins,http://www.365mots.com,Page d'accueil,économie:finances publiques ; économie:crise financière ; europe:europe ; emploi:emploi,324 ; 944,,blogger,"Blog de Custin d'Astrée, cadre financier, intéressé autant par le libéralisme que par le socialisme. Il s'est posé comme contrainte de rédiger des billets de 365 mots, ""ni plus, ni moins""",Société ; Vie politique ; Libéralisme ; Socialisme ; France,Politics ; Society ; Liberalism ; Socialism ; France,Custin d'Astrée,fre,FR,13,11,DG,
Les Gracques,http://lesgracques.fr,Page d'accueil,économie:finances publiques ; économie:mondialisation ; vie politique:vie politique ; société:discriminations ; europe:europe,324 ; 944,,think_tank,"""Les Gracques, c'est d'abord un état d'esprit : des valeurs de gauche, une conviction européenne ancrées sur la volonté d'être en phase avec la société française et avec les réalités du monde, la volonté de renouveler le débat démocratique en toute liberté.""",Think Tank ; Centre ; Réformes ; Vie politique ; Politiques publiques ; France ,Think Tank ; Centre ; Public policies ; France,Les Gracques,fre,FR,10,9,DG,
Alternative libertaire,http://www.alternativelibertaire.org,Page d'accueil,économie:finances publiques ; politique sociale:politique sociale ; société:discriminations,324 ; 944,,political_party,"Fondée en 1991, AL fonctionne sur un mode fédéraliste et autogestionnaire. Condamnant la fausse démocratie incarnée par les institutions républicaines, AL boycotte les compétitions électorales. En cela notre action est « politique » au sens fort du terme, et non politicienne. Le Manifeste pour une alternative libertaire.",Vie politique ; Anarchisme ; anti-capitalisme ; autogestion ; démocratie directe ; France,Politics ; Anarchism ; France,Alternative libertaire,fre,FR,10,11,DG,
Et ma main dans la gueule,http://etmamain.blogspot.fr,Page d'accueil,économie:finances publiques ; société:inégalité sociale ; vie politique:campagne électorale ; culture et communication:culture et communication ; europe:europe,324 ; 944,,blogger,"Blog satirique qui s'attaque prioritairement aux hommes et femmes politiques du gouvernement et de l'opposition, mais aussi aux ""peoples"" du monde de la culture et du sport (Thierry Roland, Charles Aznavour, Florent Pagny, etc..).",vie politique ; société ; France,Politics ; society ; France,El Camino,fre,FR,13,11,DG,
"Ministère de l'Education nationale, de la jeunesse et de la Vie associative ",http://www.education.gouv.fr,Page d'accueil,éducation:éducation,324 ; 944,,institution,"L'activité du ministère : préparation et mise en oeuvre de la politique du Gouvernement en faveur de l'accès de chacun aux savoirs et du développement de l'enseignement préélémentaire, élémentaire et secondaire, et en faveur de la jeunesse et du développement de la vie associative.",Vie politique; Éducation ;  Enseignement ; Jeunesse ; Vie associative ; Enjeux ; France,Politics ; Education ; Youth ; Issues ; France,"Ministère de l'éducation nationale, de la jeunesse et de la vie associative ",fre,FR,12,11,OD,
Les Jeunes Socialistes en mouvement,http://www.jeunes-socialistes.fr,Page d'accueil,éducation:éducation ; économie:finances publiques ; emploi:emploi  ; société:discriminations ; société:jeunesse ; numérique:numérique,324 ; 944,françois hollande,political_party,Site des Jeunes Socialistes,Vie politique ; PS ; Élections ; Jeunesse ; France,Politics ; PS ; Elections ;  Youth ; France,Jeunes Socialistes,fre,FR,12,11,ZM,
Bah ! ? by CC,http://www.bahbycc.com,Page d'accueil,éducation:éducation ; politique sociale:politique sociale ,324 ; 944,françois hollande,blogger,Blog d'un professeur de français en ZEP. Commente l'actualité politique et sociale à partir d'un point de vu décalé et engagé (à gauche).,Vie politique ; Société ; Gauche ; Élections ; France,Politics ; Society ; Elections ; Left ; France,Bah by CC,fre,FR,13,11,DG,"Fait partie des ""Left blogs"""
Parti ouvrier indépendant (POI),http://www.parti-ouvrier-independant.com,Page d'accueil,"emploi:emploi ; emploi:conditions de travail ; vie politique:vie politique ; politique sociale:politique sociale ; économie:crise financière ; économie:mondialisation ; europe:europe  
",324 ; 944,gérard schivardi,political_party,Parti Ouvrier Indépendant,Vie politique ; France ; Europe ;  Élections ,Politics ; France ; Europe ; Elections,Parti Ouvrier Indépendant,fre,FR ,12,11,ZM,
Alain Vidalies,http://www.parti-socialiste.fr/l-equipe/alain-vidalies,Page spécifique,"emploi:emploi ; politique sociale:politique
sociale ; vie politique:campagne électorale",324 ; 944,Alain Vidalies,politician,"Page du site du PS consacré à Alain Vidalies, Ministre délégué auprès du Premier ministre, chargé des Relations avec le Parlement","Vie politique ; France  ; PS
","Politics ; France ;  Left ; PS
",PS,fre,FR,12,11,ZM,
"Ministère du travail, de l'emploi de la formation professionnelle et du dialogue social",http://www.travail-solidarite.gouv.fr,Page d'accueil,emploi:emploi ; politique sociale:retraite ; politique sociale:santé ; politique sociale:politique sociale,324 ; 944,,institution,"L'activité du ministère : préparation et mise en œuvre de la politique du Gouvernement dans les domaines du travail, des relations sociales, de la prévention des accidents du travail et des maladies professionnelles, de l'emploi, de la formation professionnelle, de la santé publique et de l'organisation du système de soins. Préparation et mise en œuvre la politique du Gouvernement dans le domaine de la protection sociale.",Vie politique ; Travail ; Relations sociales ; Emploi ; Santé ; France,Work policy ; Industrial Relations ; Employment ; Health ; France,"Ministère du travail, de l'emploi et de la santé",fre,FR,12,11,OD,
